absTol,CLT_stdUniform_sol,CLT_stdUniform_runTime,CLT_stdGaussian_sol,CLT_stdGaussian_runTime,CLT_Rep_lattice_sol,CLT_Rep_lattice_runTime,CLT_Rep_Sobol_sol,CLT_Rep_Sobol_runTime
0.001,,,,,6.205880764685182,18.909070253372192,6.206143516660889,5.525393486022949
0.003,,,,,6.20521522762293,6.209665298461914,6.205451946619643,1.0904831886291504
0.005,,,6.202249269451232,12.148932695388794,6.202615889731467,0.9676353931427002,6.205106103786967,0.813460111618042
0.007,6.20645861837691,12.47406792640686,6.201560461312718,6.799421548843384,6.205840253111101,0.6907808780670166,6.211642347944271,0.45456790924072266
0.009000000000000001,6.207074982177809,7.51649284362793,6.198085404561248,4.101294279098511,6.200057766335487,0.5711534023284912,6.211642347944271,0.4179956912994385
0.011,6.209660010791806,5.042226076126099,6.1999950334221126,2.7317378520965576,6.200057766335487,0.5678853988647461,6.2120285237252295,0.3367159366607666
0.013000000000000001,6.209216582420447,3.577441692352295,6.20380667357971,1.9644761085510254,6.201222750079905,0.4118516445159912,6.2120285237252295,0.33469367027282715
0.015,6.21334758350616,2.7059054374694824,6.201031045305539,1.5393297672271729,6.206381957819794,0.3256993293762207,6.2120285237252295,0.33324265480041504
0.017,6.2116910573240975,2.099874258041382,6.195842898642538,1.1516478061676025,6.206381957819794,0.33083057403564453,6.2120285237252295,0.3340117931365967
0.019000000000000003,6.205097102533856,1.6948089599609375,6.2016365341107775,0.9199063777923584,6.206381957819794,0.32979893684387207,6.209105316875992,0.2918660640716553
0.021,6.200127378513039,1.3756890296936035,6.202695528641249,0.7527351379394531,6.206381957819794,0.328829288482666,6.209105316875992,0.29047417640686035
0.023,6.197532467245819,1.1531152725219727,6.198308554621736,0.6322331428527832,6.206381957819794,0.32735180854797363,6.209105316875992,0.291961669921875
0.025,6.200858134604393,0.9893615245819092,6.194758279046517,0.5391528606414795,6.206381957819794,0.32814693450927734,6.209105316875992,0.28819870948791504
0.027000000000000003,6.203785920350021,0.8421533107757568,6.196692397102389,0.46297645568847656,6.206381957819794,0.32970356941223145,6.209105316875992,0.2890167236328125
0.029,6.205616332610604,0.7314968109130859,6.20027178818333,0.4002811908721924,6.206381957819794,0.32958388328552246,6.209105316875992,0.29401516914367676
0.031,6.207892172324585,0.6448001861572266,6.205933365144654,0.3522224426269531,6.206381957819794,0.3318796157836914,6.209105316875992,0.29266905784606934
0.033,6.202524947328132,0.5642530918121338,6.200630531481356,0.31378912925720215,6.206381957819794,0.3298201560974121,6.209105316875992,0.28936100006103516
0.035,6.2085650977877185,0.51875901222229,6.2035124442359395,0.2798161506652832,6.206381957819794,0.3315143585205078,6.209105316875992,0.29694509506225586
0.037000000000000005,6.205840539772974,0.45728063583374023,6.207852305197692,0.25078558921813965,6.206381957819794,0.3286292552947998,6.209105316875992,0.28968238830566406
0.039,6.204082998403825,0.4145996570587158,6.215074313519986,0.22985529899597168,6.206381957819794,0.32915568351745605,6.209105316875992,0.2895686626434326
0.041,6.214545823433203,0.3801867961883545,6.214120134124374,0.20896410942077637,6.193026562157902,0.28716516494750977,6.209105316875992,0.28996920585632324
0.043000000000000003,6.214163788894154,0.35100317001342773,6.210423785406735,0.19056415557861328,6.193026562157902,0.2863595485687256,6.209105316875992,0.2929973602294922
0.045,6.212273533862462,0.3155665397644043,6.219991552019363,0.17562270164489746,6.193026562157902,0.28588032722473145,6.209105316875992,0.29187750816345215
0.047,6.215673478287858,0.293834924697876,6.211069800794105,0.1621105670928955,6.193026562157902,0.28789281845092773,6.209105316875992,0.29037928581237793
0.049,6.2093422583403,0.2699751853942871,6.208360712858153,0.14893150329589844,6.193026562157902,0.28664088249206543,6.209105316875992,0.29285120964050293
