Stopping Criterion,Distribution,MC/QMC,mean_shift,solution,n_samples,time
CubMCCLT,IIDStdGaussian,MC,2.3,1.78549369950128,168765.0,0.14842542012532553
CubMCCLT,IIDStdGaussian,MC,2.4,1.7864237994342178,198856.0,0.16511074701944986
CubMCCLT,IIDStdGaussian,MC,2.5,1.7852706693962368,236248.0,0.1954960823059082
CubMCCLT,IIDStdGaussian,MC,2.6,1.7765471699446793,283273.0,0.2405257225036621
CubMCCLT,IIDStdGaussian,MC,2.7,1.769257541205853,339355.0,0.2815803686777751
CubMCCLT,IIDStdGaussian,MC,2.8,1.7759068350011251,408650.0,0.3476531505584717
CubMCCLT,IIDStdGaussian,MC,2.9,1.7709341063035107,488987.0,0.4245111147562663
CubMCCLT,IIDStdGaussian,MC,3.0,1.7649738314930057,571085.0,0.485889196395874
CubMCG,IIDStdUniform,MC,-0.2,1.8014375427155496,558577.0,1.2000500361124675
CubMCG,IIDStdUniform,MC,-0.1,1.8037999135727247,477862.0,1.025107701619466
CubMCG,IIDStdUniform,MC,0.0,1.8037930137897742,408603.0,0.8416609764099121
CubMCG,IIDStdUniform,MC,0.1,1.8038438659559877,349295.0,0.7078967094421387
CubMCG,IIDStdUniform,MC,0.2,1.8052702076256217,299251.0,0.6111439863840739
CubMCG,IIDStdUniform,MC,0.3,1.802032589280017,257529.0,0.5569142500559489
CubMCG,IIDStdUniform,MC,0.4,1.8007603412953166,222765.0,0.501457691192627
CubMCG,IIDStdUniform,MC,0.5,1.7969656264158667,194160.0,0.4128859043121338
CubMCG,IIDStdUniform,MC,0.6,1.7944195193446983,171082.0,0.3483699957529704
CubMCG,IIDStdUniform,MC,0.7,1.7924539127776766,153029.0,0.3025682767232259
CubMCG,IIDStdUniform,MC,0.8,1.787059493728818,139594.0,0.2813130219777425
CubMCG,IIDStdUniform,MC,0.9,1.782993249932873,129818.0,0.2680019537607829
CubMCG,IIDStdUniform,MC,1.0,1.782459116134586,122880.0,0.24616853396097818
CubMCG,IIDStdUniform,MC,1.1,1.782473206824112,118843.0,0.22891410191853842
CubMCG,IIDStdUniform,MC,1.2,1.7796818492599311,117522.0,0.23294305801391602
CubMCG,IIDStdUniform,MC,1.3,1.7799238024538313,118729.0,0.28548137346903485
CubMCG,IIDStdUniform,MC,1.4,1.778372950098971,122195.0,0.26482605934143066
CubMCG,IIDStdUniform,MC,1.5,1.777113571238089,127819.0,0.2632732391357422
CubMCG,IIDStdUniform,MC,1.6,1.777647234126669,135497.0,0.28121034304300946
CubMCG,IIDStdUniform,MC,1.7,1.7774361336720503,143711.0,0.3408997853597005
CubMCG,IIDStdUniform,MC,1.8,1.7775252230454106,152687.0,0.3470626672108968
CubMCG,IIDStdUniform,MC,1.9,1.774731597979385,162357.0,0.39353640874226886
CubMCG,IIDStdUniform,MC,2.0,1.7760400966294732,173124.0,0.4008443355560303
CubMCG,IIDStdUniform,MC,2.1,1.7764024933939286,185222.0,0.400043249130249
CubMCG,IIDStdUniform,MC,2.2,1.773310432583113,199628.0,0.4198950131734212
CubMCG,IIDStdUniform,MC,2.3,1.7727168992711206,216931.0,0.4656075636545817
CubMCG,IIDStdUniform,MC,2.4,1.7697847545461922,236464.0,0.49382567405700684
CubMCG,IIDStdUniform,MC,2.5,1.7691923468412094,261869.0,0.5337375005086263
CubMCG,IIDStdUniform,MC,2.6,1.7760300081932814,299698.0,0.6119263172149658
CubMCG,IIDStdUniform,MC,2.7,1.7727196933313694,347686.0,0.7112853527069092
CubMCG,IIDStdUniform,MC,2.8,1.7793819559969382,407217.0,0.8431923389434814
CubMCG,IIDStdUniform,MC,2.9,1.7802885015693632,477285.0,0.9875552654266357
CubMCG,IIDStdUniform,MC,3.0,1.7836271655134206,550704.0,1.1634979248046875
CubMCG,IIDStdGaussian,MC,-0.2,1.7812565959489344,842412.0,0.7305417855580648
CubMCG,IIDStdGaussian,MC,-0.1,1.7808767456279613,647329.0,0.5511183738708496
CubMCG,IIDStdGaussian,MC,0.0,1.7800492139980097,502136.0,0.3986849784851074
CubMCG,IIDStdGaussian,MC,0.1,1.7809883275683764,393985.0,0.3326549530029297
CubMCG,IIDStdGaussian,MC,0.2,1.7832598553682988,313833.0,0.2643271287282308
CubMCG,IIDStdGaussian,MC,0.3,1.7844381787191095,254328.0,0.2069393793741862
CubMCG,IIDStdGaussian,MC,0.4,1.7831003656464313,209753.0,0.17049702008565268
CubMCG,IIDStdGaussian,MC,0.5,1.785138514390048,176233.0,0.14627671241760254
CubMCG,IIDStdGaussian,MC,0.6,1.7879181757239426,150970.0,0.12727038065592447
CubMCG,IIDStdGaussian,MC,0.7,1.7849114085342979,132455.0,0.11754806836446126
CubMCG,IIDStdGaussian,MC,0.8,1.7860929747885406,119003.0,0.10293213526407878
CubMCG,IIDStdGaussian,MC,0.9,1.7892181381444123,109837.0,0.09669971466064453
CubMCG,IIDStdGaussian,MC,1.0,1.789628334065217,104693.0,0.09725626309712727
CubMCG,IIDStdGaussian,MC,1.1,1.7905282657227986,102891.0,0.09265367190043132
CubMCG,IIDStdGaussian,MC,1.2,1.790401705315918,103288.0,0.08828306198120117
CubMCG,IIDStdGaussian,MC,1.3,1.7885000840862968,105005.0,0.09830800692240398
CubMCG,IIDStdGaussian,MC,1.4,1.7868632275703609,107967.0,0.09786136945088704
CubMCG,IIDStdGaussian,MC,1.5,1.7873434801157815,112416.0,0.10665806134541829
CubMCG,IIDStdGaussian,MC,1.6,1.785148393137418,118073.0,0.11527061462402344
CubMCG,IIDStdGaussian,MC,1.7,1.785850404727582,124666.0,0.11735351880391438
CubMCG,IIDStdGaussian,MC,1.8,1.785263413836837,131826.0,0.12463696797688802
CubMCG,IIDStdGaussian,MC,1.9,1.7834500984454291,140428.0,0.13918042182922363
CubMCG,IIDStdGaussian,MC,2.0,1.7857269860397949,152828.0,0.1419516404469808
CubMCG,IIDStdGaussian,MC,2.1,1.7843981521631909,171703.0,0.161897341410319
CubMCG,IIDStdGaussian,MC,2.2,1.7853470282666903,197676.0,0.18044463793436685
