Stopping Criterion,Distribution,MC/QMC,abs_tol,solution,n_samples,time
CLT,IIDStdUniform,MC,0.002,2.1683189442878428,11748149.0,4.599728302666942
CLT,IIDStdUniform,MC,0.0022,2.1687078730102525,9709569.0,3.928144784333805
CLT,IIDStdUniform,MC,0.0024000000000000002,2.1682576372574593,8159063.0,3.1737792639990707
CLT,IIDStdUniform,MC,0.0026000000000000003,2.1683988326963464,6952404.0,2.5637766710005963
CLT,IIDStdUniform,MC,0.0028000000000000004,2.168210043695224,5994957.0,2.4930591943339095
CLT,IIDStdUniform,MC,0.0030000000000000005,2.1681764862023027,5222537.0,1.950581387666413
CLT,IIDStdUniform,MC,0.0032000000000000006,2.1678168755955625,4590369.0,1.802848914666053
CLT,IIDStdUniform,MC,0.0034000000000000007,2.1674788527465405,4066443.0,1.4879771286668984
CLT,IIDStdUniform,MC,0.0036000000000000008,2.168303914501171,3627388.0,1.8169984943336506
CLT,IIDStdUniform,MC,0.003800000000000001,2.1684533179336394,3255816.0,1.7511796369993438
CLT,IIDStdUniform,MC,0.004000000000000001,2.168921186206798,2938574.0,1.3853738363335044
CLT,IIDStdUniform,MC,0.004200000000000001,2.168805913315189,2665563.0,1.1251997969999745
CLT,IIDStdUniform,MC,0.004400000000000001,2.169373725677643,2428929.0,0.9517633809997884
CLT,IIDStdUniform,MC,0.004600000000000002,2.1688737369638997,2222483.0,0.8806396070000725
CLT,IIDStdUniform,MC,0.004800000000000001,2.1690787040659365,2041302.0,0.8754877863332998
CLT,IIDStdUniform,MC,0.005000000000000001,2.1691591886575248,1881425.0,0.8677504936664869
CLT,IIDStdUniform,MC,0.0052000000000000015,2.1694134812321426,1739637.0,0.7047681336674335
CLT,IIDStdUniform,MC,0.005400000000000002,2.169254752127107,1613311.0,0.6381367886679072
CLT,IIDStdUniform,MC,0.005600000000000002,2.1692939019370954,1500276.0,0.5834813216667195
CLT,IIDStdUniform,MC,0.005800000000000001,2.1688385523737983,1398731.0,0.5313659959986884
CLT,IIDStdUniform,MC,0.006000000000000002,2.168984627275995,1307171.0,0.49570624899934046
CLT,IIDStdUniform,MC,0.006200000000000002,2.168977142228602,1224327.0,0.46790180866688996
CLT,IIDStdUniform,MC,0.006400000000000002,2.1689514035126662,1149129.0,0.43902731566655956
CLT,IIDStdUniform,MC,0.006600000000000002,2.1690575959449045,1080662.0,0.411413433666894
CLT,IIDStdUniform,MC,0.006800000000000002,2.1695511135484855,1018147.0,0.38702376933300303
CLT,IIDStdUniform,MC,0.007000000000000003,2.1688383524654222,960914.0,0.36849692633283365
CLT,IIDStdUniform,MC,0.007200000000000002,2.1691564195793065,908383.0,0.3499129906667804
