dimension,CLT_IIDStdUniform,CLT_IIDStdGaussian,CLTRep_Lattice,CLTRep_Sobol,MeanMC_g_IIDStdUniform,MeanMC_g_IIDStdGaussian,CubLattice_g
1.0,0.0024728160000000074,0.001039193000000031,0.0013641896666666635,0.0017436570000000096,,,0.002422109666666672
2.0,0.00975583333333326,0.00277620199999995,0.002082514333333396,0.0023933043333334383,,,0.002409976666666832
3.0,0.03028122566666669,0.007990120333333387,0.002342880000000047,0.0025927136666666537,,,0.002612523666666607
4.0,0.14242012000000015,0.025704000666666893,0.0025034246666666427,0.006423299333333447,,,0.005420709333333236
5.0,2.624064375333333,0.16453483366666669,0.010335364333334004,0.015026556666666599,,,0.019200472666666357
6.0,2.3797993633333334,0.9989614416666667,0.022940533666665413,0.02923709166666555,,,0.01886109566666742
7.0,0.3978187256666648,0.07074461266666769,0.006687323666665653,0.015252389000000477,,,0.005547570999999844
8.0,0.18605283533333386,0.030395940333335147,0.007023672999999064,0.0169697466666688,,,0.006001244333332305
9.0,0.0832062116666646,0.018698254333333608,0.0076978123333333315,0.009504763333333463,,,0.002847533000000624
10.0,0.0541703816666678,0.010729752333334138,0.008721673666665689,0.010221695333333022,,,0.0028944246666663767
11.0,0.03707173199999995,0.006975274333334151,0.009319053666666596,0.010781999999998959,,,0.003007175333332649
12.0,0.030028215666668245,0.005754017000000999,0.004986423333331658,0.012204771666667114,,,0.003114012000001054
13.0,0.018008526666664675,0.005026645333333117,0.01044183066666804,0.012671083666665103,,,0.0033685356666666166
14.0,0.01725343866666762,0.003373955666666243,0.005808815333332736,0.013960582333332638,,,0.003334893999999385
15.0,0.0148407266666671,0.003057729666666139,0.0063641033333337775,0.007343932333333451,,,0.0034204919999988683
16.0,0.014179212000000755,0.0023445633333345484,0.006707509999999435,0.015061622666666588,,,0.0034338496666670437
17.0,0.0096888323333341,0.0023519593333318767,0.013505811666666053,0.016315141999999838,,,0.0035568526666670173
18.0,0.007920165333333765,0.0018538536666656096,0.015320429999999163,0.017120521666668036,,,0.003685830333332992
19.0,0.008741199666667162,0.0016001360000004183,0.007697840000001103,0.009068005666667508,,,0.0037891330000003145
20.0,0.008643296333334641,0.0016456196666657281,0.01579016966666676,0.019139042333332412,,,0.0038099880000004305
21.0,0.00858246400000103,0.0016845749999999289,0.008960860666666312,0.0101624040000002,,,0.003947606999999446
22.0,0.00798991833333318,0.0017490260000011897,0.009556447666666893,0.020188099999999782,,,0.00410075600000089
23.0,0.011121408666666591,0.0022190776666661804,0.009433162333333911,0.021738268333333366,,,0.004089649333333038
24.0,0.013049568333334113,0.002592086666667844,0.009812455000001089,0.011145032333332713,,,0.004318404666665998
25.0,0.018308790333332325,0.0031977210000005605,0.019340873666666408,0.011475423333332438,,,0.004393007999999791
26.0,0.022907175333332457,0.0034317776666673203,0.00989272000000104,0.023774640666667086,,,0.004355541000000092
27.0,0.030802785000001148,0.004380978333333729,0.010690003666666096,0.012195641000000515,,,0.004458019666666739
28.0,0.030933275666665594,0.005661063333332568,0.010958925666666156,0.012429708333333641,,,0.004489980000001263
29.0,0.04485228600000113,0.007219705333335232,0.011239737666665897,0.01337096433333329,,,0.0044838356666663986
30.0,0.060378476333334895,0.009104105666666603,0.011434209999999704,0.013823243666666466,,,0.0046997466666667265
31.0,0.08295392666666619,0.011066461999998722,0.012094309666666211,0.027651591333332465,,,0.004764690666666145
32.0,0.092327743333333,0.015401385333333906,0.012941200666664562,0.01455220133333294,,,0.0050211173333316594
33.0,0.1199138506666652,0.017311225666666985,0.012526638666667367,0.015139373000001418,,,0.004925234333332658
34.0,0.17788749933333273,0.02150869166666543,0.02498946200000063,0.014729287666667071,,,0.004924310000001005
35.0,0.2102797436666665,0.03376317233333381,0.012780259666666183,0.015241185333332888,,,0.005290947000000064
36.0,0.2729413916666677,0.042072434666666915,0.013039422666667614,0.015473174666666978,,,0.005014363333332976
37.0,0.36502083566666715,0.05435895633333369,0.013422353999999359,0.016011887666664393,,,0.010458191999999164
38.0,0.5327275846666643,0.08070664800000316,0.027529755333335498,0.03252806566666777,,,0.010939074000001861
39.0,0.7042843740000038,0.12351329333333183,0.028252151666665764,0.03315438599999965,,,0.02117994599999899
40.0,1.0648374689999993,0.17634057633333336,0.058823003999999436,0.033806586666666284,,,0.04089819166666331
