abs_tol,IIDStdUniform_solution,IIDStdGaussian_solution,Lattice_solution,Sobol_solution,IIDStdUniform_time,IIDStdGaussian_time,Lattice_time,Sobol_time,IIDStdUniform_n,IIDStdGaussian_n,Lattice_n,Sobol_n
0.001,,0.7228116873363604,0.7228050304923389,0.722832329464462,,1.1476134156666677,0.004911026333334216,0.03589555033333269,,14195154.333333334,682.6666666666666,2730.6666666666665
0.0012000000000000001,,0.7227401980978159,0.7228050304923389,0.722832329464462,,0.7992864056666681,0.004858285999998675,0.03585870099999985,,9857798.333333334,682.6666666666666,2730.6666666666665
0.0014000000000000002,0.7228761793426016,0.7228765933867777,0.7228050304923389,0.7227452883289748,2.341905704333333,0.5787057473333354,0.004816215333330358,0.02852361399999855,6971344.333333333,7242509.333333333,682.6666666666666,1365.3333333333333
0.0016000000000000003,0.7228258122126928,0.7229376300604565,0.7227566906334101,0.7227452883289748,1.6342900440000012,0.44222200200000356,0.0027479133333325003,0.02905190399999924,5337475.333333333,5545086.333333333,341.3333333333333,1365.3333333333333
0.0018000000000000004,0.7227870594592964,0.7229675407277436,0.7227566906334101,0.7227452883289748,1.2969536259999994,0.348958532333332,0.002854500999996882,0.028569768000001734,4217300.333333333,4381338.666666667,341.3333333333333,1365.3333333333333
0.0020000000000000005,0.7229087168781865,0.7227185835285682,0.7227566906334101,0.7227452883289748,1.04431196566667,0.2829590883333329,0.0027941353333365746,0.027414393666665166,3416045.6666666665,3548916.6666666665,341.3333333333333,1365.3333333333333
0.0022000000000000006,0.722858049075163,0.7227327955646566,0.7227566906334101,0.7227452883289748,0.8612281936666714,0.23394789066666513,0.002898874666669826,0.027445949000006447,2823208.0,2933018.6666666665,341.3333333333333,1365.3333333333333
0.0024000000000000007,0.7228174289721735,0.7227764613848148,0.7227566906334101,0.7229346949969481,0.724619571333335,0.19629491866666626,0.0027542666666704463,0.024375669999993004,2372306.3333333335,2464577.6666666665,341.3333333333333,682.6666666666666
0.0026000000000000007,0.7227198487932464,0.7227995174940443,0.7227566906334101,0.7229346949969481,0.6293022403333358,0.16807621700000178,0.0027641830000012155,0.02439307099999155,2021398.6666666667,2100020.3333333335,341.3333333333333,682.6666666666666
0.002800000000000001,0.722715056961761,0.7226610156017478,0.7227566906334101,0.7229346949969481,0.5336208139999977,0.14457901366666684,0.002754370333330295,0.024385711666667476,1742964.3333333333,1810755.3333333333,341.3333333333333,682.6666666666666
0.003000000000000001,0.7225627671518868,0.7227197025053157,0.7227566906334101,0.7229346949969481,0.4654804853333303,0.12602535766666279,0.0027600796666717997,0.024405734999997247,1518337.3333333333,1577391.3333333333,341.3333333333333,682.6666666666666
