Stopping Criterion,Distribution,mean_shift,n_samples,time
MeanMC_g,IIDStdUniform,0.25,282538.0,1.0015169059999873
MeanMC_g,IIDStdUniform,0.5,195027.0,0.7471117100000129
MeanMC_g,IIDStdUniform,0.75,145748.0,0.620807928666674
MeanMC_g,IIDStdUniform,1.0,121027.0,0.57954894333335
MeanMC_g,IIDStdUniform,1.25,113215.0,0.5667058333333254
MeanMC_g,IIDStdUniform,1.5,116551.0,0.5753660626666791
MeanMC_g,IIDStdUniform,1.75,127097.0,0.5991610056666635
MeanMC_g,IIDStdUniform,2.0,138462.0,0.62883751066668
MeanMC_g,IIDStdUniform,2.25,143363.0,0.6466873326666587
MeanMC_g,IIDStdUniform,2.5,156183.0,0.6408308496666564
MeanMC_g,IIDStdUniform,2.75,175022.0,0.7143091756666612
MeanMC_g,IIDStdUniform,3.0,202988.0,0.7721096819999881
MeanMC_g,IIDStdGaussian,-0.25,798862.0,1.0209089673333362
MeanMC_g,IIDStdGaussian,0.0,481879.0,0.7138365883333412
MeanMC_g,IIDStdGaussian,0.25,307414.0,0.6016494530000122
MeanMC_g,IIDStdGaussian,0.5,210819.0,0.48174141300000883
MeanMC_g,IIDStdGaussian,0.75,156884.0,0.4743762666666574
MeanMC_g,IIDStdGaussian,1.0,127417.0,0.3965609733333319
MeanMC_g,IIDStdGaussian,1.25,113661.0,0.3685999659999766
MeanMC_g,IIDStdGaussian,1.5,107884.0,0.3575764363333178
MeanMC_g,IIDStdGaussian,1.75,110325.0,0.3472949300000134
MeanMC_g,IIDStdGaussian,2.0,122798.0,0.4205241183333328
MeanMC_g,IIDStdGaussian,2.25,147773.0,0.4709087333333362
MeanMC_g,IIDStdGaussian,2.5,204263.0,0.5196780716666657
MeanMC_g,IIDStdGaussian,2.75,302279.0,0.5972904926666539
MeanMC_g,IIDStdGaussian,3.0,453126.0,0.7188253279999989
CubLattice_g,Lattice,-0.25,8192.0,0.1024565620000241
CubLattice_g,Lattice,0.0,4096.0,0.06585705033334459
CubLattice_g,Lattice,0.25,4096.0,0.06983759666667311
CubLattice_g,Lattice,0.5,2048.0,0.03845225800000662
CubLattice_g,Lattice,0.75,2048.0,0.04119115566669507
CubLattice_g,Lattice,1.0,2048.0,0.017276617000012113
CubLattice_g,Lattice,1.25,1024.0,0.0063128290000046645
CubLattice_g,Lattice,1.5,1024.0,0.004433741666654593
CubLattice_g,Lattice,1.75,2048.0,0.013099757999990894
CubLattice_g,Lattice,2.0,2048.0,0.010770780666651566
CubLattice_g,Lattice,2.25,2048.0,0.015491249666676291
CubLattice_g,Lattice,2.5,4096.0,0.05707252266667714
CubLattice_g,Lattice,2.75,8192.0,0.13647125633336069
CubLattice_g,Lattice,3.0,8192.0,0.13890532566667466
CubSobol_g,Sobol,-0.25,8192.0,0.435234714333338
CubSobol_g,Sobol,0.0,4096.0,0.22526341166665512
CubSobol_g,Sobol,0.25,4096.0,0.2293654260000153
CubSobol_g,Sobol,0.5,2048.0,0.11425556799999488
CubSobol_g,Sobol,0.75,2048.0,0.026281899333317444
CubSobol_g,Sobol,1.0,2048.0,0.028025102666674684
CubSobol_g,Sobol,1.25,1024.0,0.012741849666667804
CubSobol_g,Sobol,1.5,1024.0,0.012652351333334385
CubSobol_g,Sobol,1.75,2048.0,0.025403230333343647
CubSobol_g,Sobol,2.0,2048.0,0.025789710000007442
CubSobol_g,Sobol,2.25,2048.0,0.02514516899998398
CubSobol_g,Sobol,2.5,2048.0,0.025896577999996378
CubSobol_g,Sobol,2.75,4096.0,0.136806889333324
CubSobol_g,Sobol,3.0,8192.0,0.4128992613333177
