n,mps_lattice_time,qmcpy_lattice_time,mps_Sobol_time,qmcpy_Sobol_time
2.0,5.1180521647135414e-05,7.351239522298177e-05,0.8237909475962321,0.003834327061971029
4.0,5.8492024739583336e-05,7.780392964680989e-05,0.857179323832194,0.0034830570220947266
8.0,9.218851725260417e-05,7.907549540201823e-05,0.8983637491861979,0.0030504067738850913
16.0,0.00019129117329915365,9.004275004069011e-05,0.8333151340484619,0.003010272979736328
32.0,0.00025177001953125,9.878476460774739e-05,0.8308173020680746,0.0030655860900878906
64.0,0.0004794597625732422,0.00018707911173502603,0.8483972549438477,0.0031488736470540366
128.0,0.000997463862101237,0.00017182032267252603,0.8348211447397867,0.0036163330078125
256.0,0.0019260247548421223,0.00014583269755045572,0.83540940284729,0.0035918553670247397
512.0,0.0035484631856282554,0.0002224445343017578,0.84946076075236,0.004249175389607747
1024.0,0.006862640380859375,0.0002037684122721354,0.8508596420288086,0.0053653717041015625
2048.0,0.013654629389444986,0.00022188822428385416,0.8537740707397461,0.007729689280192058
4096.0,0.03246164321899414,0.0002697308858235677,0.8684832255045573,0.012645562489827475
8192.0,0.054698546727498375,0.00036780039469401043,0.9065412680308024,0.0226898193359375
16384.0,0.10910511016845703,0.0005038579305013021,0.9389397303263346,0.04182140032450358
32768.0,0.22756854693094888,0.0007677078247070312,1.033508062362671,0.08077390988667806
65536.0,0.45075488090515137,0.0012567838033040364,1.2103132406870525,0.1585837205251058
131072.0,0.9086712996164957,0.002202749252319336,1.5756617387135823,0.3126988410949707
262144.0,1.8319481213887532,0.004281361897786458,2.34975266456604,0.6238570213317871
524288.0,3.684731880823771,0.008339484532674154,3.7521374225616455,1.2529277801513672
1048576.0,7.328069766362508,0.01986273129781087,6.575660069783528,2.468496878941854
