n,Sobol_MPS_time,Sobol_Pytorch_time
16.0,0.0016508897145589192,0.011655648549397787
16.0,0.00022753079732259115,0.00026305516560872394
32.0,0.00024135907491048178,0.0002208550771077474
64.0,0.00035754839579264325,0.00025645891825358075
128.0,0.0007375081380208334,0.00025041898091634113
256.0,0.001089334487915039,0.00030120213826497394
512.0,0.002038081487019857,0.0003077189127604167
1024.0,0.004281441370646159,0.0004169940948486328
2048.0,0.00854961077372233,0.000633398691813151
4096.0,0.017433881759643555,0.0013844966888427734
8192.0,0.03366843859354655,0.002089420954386393
16384.0,0.06369630495707194,0.0035918553670247397
32768.0,0.12318929036458333,0.00890803337097168
65536.0,0.2508991559346517,0.012957175572713217
131072.0,0.4760807355244954,0.02827278772989909
262144.0,0.9665486017862955,0.05462423960367838
524288.0,2.0131946404774985,0.12270482381184895
1048576.0,4.014307339986165,0.27649688720703125
