n,L_MPS_t,L_GAIL_t,S_QRNG_t,S_MPS_OG_t,S_MPS_QMCPy_t,S_PyTorch_t
2.0,8.328755696614583e-05,7.89960225423177e-05,9.369850158691406e-05,0.7746376991271973,0.0005428791046142578,0.08637483914693196
4.0,0.00010021527608235677,0.00011928876241048177,7.192293802897136e-05,0.9299710591634115,0.0007420380910237631,0.00018374125162760416
8.0,0.0001357396443684896,0.0002105236053466797,6.850560506184895e-05,0.7700471878051758,0.000394741694132487,0.00010895729064941406
16.0,0.0001274744669596354,0.0001537799835205078,4.712740580240885e-05,0.7501207192738851,0.000390926996866862,0.00010522206624348958
32.0,0.00015743573506673178,0.00019160906473795572,4.712740580240885e-05,0.7801692485809326,0.00041596094767252606,0.0001041094462076823
64.0,0.00016617774963378906,0.00020496050516764322,4.871686299641927e-05,0.7670302391052246,0.0004945596059163412,0.00010625521341959636
128.0,0.00018199284871419272,0.0002342859903971354,6.556510925292969e-05,0.8944294452667236,0.0006098747253417969,0.00010577837626139323
256.0,0.0001785755157470703,0.00028554598490397137,9.679794311523438e-05,0.7563732465108236,0.0009327729543050131,0.00010538101196289062
512.0,0.00018858909606933594,0.0003695487976074219,5.5948893229166664e-05,0.998314619064331,0.002322038014729818,0.0001510779062906901
1024.0,0.00024501482645670575,0.0005051294962565104,0.00011483828226725261,0.9718000888824463,0.0029198328653971353,0.0001453558603922526
2048.0,0.0002867380777994792,0.0005751450856526693,7.62939453125e-05,0.940587043762207,0.004175424575805664,0.00011293093363444011
4096.0,0.00026543935139973957,0.0006650288899739584,0.00011912981669108073,0.8309958775838217,0.00842754046122233,0.00011833508809407552
8192.0,0.0003458658854166667,0.000869592030843099,0.00012485186258951822,0.8561122417449951,0.01704096794128418,0.00014209747314453125
16384.0,0.0005381902058919271,0.0012218157450358074,0.00020225842793782553,0.8874458471934,0.03218269348144531,0.00017444292704264322
32768.0,0.0008422533671061198,0.0027964115142822266,0.00038695335388183594,1.1955584685007732,0.06637120246887207,0.0002338886260986328
65536.0,0.0012964407602945964,0.004944642384847005,0.0007042090098063151,1.1340924898783367,0.12795662879943848,0.00040833155314127606
131072.0,0.0023366610209147134,0.00928354263305664,0.0013701121012369792,1.500384012858073,0.2651025454203288,0.0006705919901529948
262144.0,0.008465051651000977,0.023744662602742512,0.0034480889638264975,2.293745994567871,0.5397540728251139,0.0011620521545410156
524288.0,0.013353347778320312,0.042202393213907875,0.005210479100545247,4.276602824529012,1.0721311569213867,0.0022117296854654946
1048576.0,0.023680369059244793,0.10143208503723145,0.008985519409179688,6.046118259429932,2.0689982573191323,0.004465341567993164
