2,0.0003759,0.00063585
4,0.00022257,0.00039063
8,0.00015437,0.000368
16,0.00015948,0.00095672
32,0.00016845,0.00045785
64,0.00015965,0.00050668
128,0.00016045,0.00040888
256,0.00017202,0.00028442
512,0.00018737,0.00024717
1024,0.0001846,0.00026563
2048,0.00020232,0.0002643
4096,0.0003145,0.0008797
8192,0.00035903,0.00095893
16384,0.00052848,0.0010971
32768,0.0006847,0.0006326
65536,0.0015554,0.00086065
1.3107e+05,0.0023461,0.0014954
2.6214e+05,0.004927,0.0029189
5.2429e+05,0.0099234,0.0057994
1.0486e+06,0.019946,0.011064
