abs_tol,CLT_IIDStdUniform_sol,CLT_IIDStdUniform_runTime,CLT_IIDStdGaussian_sol,CLT_IIDStdGaussian_runTime,CLT_Rep_Lattice_sol,CLT_Rep_Lattice_runTime,CLT_Rep_Sobol_sol,CLT_Rep_Sobol_runTime
0.001,,,,,6.20613840182944,25.99354887008667,6.205949300878378,7.3263304233551025
0.004,,,6.204353332019223,13.304843187332153,6.204222547536583,2.2351880073547363,6.206661581921609,0.5215921401977539
0.007,6.206658686399004,10.731754779815674,6.2048035379879165,4.389688968658447,6.20606314536498,0.7927975654602051,6.20748563696302,0.38868236541748047
0.010000000000000002,6.209035641766766,5.355950355529785,6.2039378432986005,2.1514689922332764,6.20606314536498,0.8120181560516357,6.2073261431719695,0.3372213840484619
0.013000000000000001,6.209046134987977,3.2468931674957275,6.201060030943208,1.281843662261963,6.202156309838707,0.46785640716552734,6.2073261431719695,0.3141801357269287
0.016,6.208883402670813,2.1546852588653564,6.204209667757335,0.8372488021850586,6.202637421826179,0.3795959949493408,6.2073261431719695,0.31053900718688965
0.019000000000000003,6.2052851114859875,1.5074248313903809,6.204345883497935,0.5881228446960449,6.202637421826179,0.36980414390563965,6.2073261431719695,0.3086221218109131
0.022000000000000002,6.205031512022452,1.1124217510223389,6.208762764432009,0.4465057849884033,6.202637421826179,0.37038087844848633,6.201936102295027,0.26943016052246094
0.025,6.199464765904223,0.8806650638580322,6.210255600931871,0.3397955894470215,6.202637421826179,0.38716936111450195,6.201936102295027,0.26971006393432617
0.028,6.197450098759421,0.690906286239624,6.2102221787127405,0.27472925186157227,6.202637421826179,0.36597418785095215,6.201936102295027,0.26960325241088867
0.031,6.206129285075945,0.5636651515960693,6.207693034299871,0.22126388549804688,6.202637421826179,0.36697936058044434,6.201936102295027,0.26959919929504395
0.034,6.203738637835853,0.47612738609313965,6.212886449683086,0.18500494956970215,6.202637421826179,0.3647150993347168,6.201936102295027,0.2768218517303467
0.037000000000000005,6.198324740196154,0.41481661796569824,6.215818224175752,0.16194367408752441,6.202637421826179,0.3767251968383789,6.201936102295027,0.27013492584228516
0.04,6.194453662166886,0.4239344596862793,6.202152296653074,0.15851306915283203,6.202637421826179,0.3804440498352051,6.201936102295027,0.2833282947540283
0.043000000000000003,6.202746910244515,0.32820868492126465,6.201052171649069,0.1276867389678955,6.202637421826179,0.38475537300109863,6.201936102295027,0.27393364906311035
0.046,6.196647963450284,0.2754955291748047,6.197986737900363,0.10480237007141113,6.2080389144907535,0.3238508701324463,6.201936102295027,0.2717881202697754
0.049,6.190254239646412,0.2420179843902588,6.201167081956562,0.09329843521118164,6.2080389144907535,0.32678866386413574,6.201936102295027,0.27996253967285156
0.052000000000000005,6.191778764695308,0.22249341011047363,6.2035067913093025,0.08352470397949219,6.2080389144907535,0.3226301670074463,6.201936102295027,0.27355289459228516
0.055,6.197424047228905,0.19647669792175293,6.204107212308592,0.07962346076965332,6.2080389144907535,0.32931947708129883,6.201936102295027,0.27495741844177246
0.058,6.19751877549912,0.17683982849121094,6.21270044274125,0.06930279731750488,6.2080389144907535,0.32735514640808105,6.201936102295027,0.27931690216064453
0.061,6.201434439861388,0.16755104064941406,6.204126557898813,0.06319189071655273,6.2080389144907535,0.33083367347717285,6.201936102295027,0.2800118923187256
0.064,6.207255582594434,0.15000700950622559,6.19434458616413,0.05794525146484375,6.2080389144907535,0.3259305953979492,6.201936102295027,0.2755863666534424
0.067,6.201039316284385,0.13858556747436523,6.209760465696368,0.053380727767944336,6.2080389144907535,0.32184863090515137,6.201936102295027,0.2798948287963867
0.07,6.199643307008216,0.12904143333435059,6.200466937903141,0.05000495910644531,6.2080389144907535,0.3308429718017578,6.201936102295027,0.27690696716308594
0.07300000000000001,6.193405069237589,0.12157869338989258,6.203086276066089,0.0462489128112793,6.2080389144907535,0.3235466480255127,6.201936102295027,0.27536606788635254
0.076,6.1899413102868115,0.11803746223449707,6.204504330302587,0.04570460319519043,6.2080389144907535,0.33084630966186523,6.201936102295027,0.27485108375549316
0.079,6.202284321642299,0.10665297508239746,6.206708315035186,0.04157900810241699,6.2080389144907535,0.3252284526824951,6.201936102295027,0.2779557704925537
0.082,6.184629844793424,0.10057544708251953,6.200491669038597,0.039144277572631836,6.2080389144907535,0.3264765739440918,6.201936102295027,0.27571916580200195
0.085,6.1860700819941545,0.09604907035827637,6.188660706018887,0.037798404693603516,6.2080389144907535,0.32492589950561523,6.201936102295027,0.2745790481567383
0.08800000000000001,6.20158117027002,0.09414267539978027,6.192801897168175,0.039910316467285156,6.2080389144907535,0.3320600986480713,6.201936102295027,0.27323436737060547
0.091,6.191162817913423,0.09704971313476562,6.176787409985304,0.037010908126831055,6.2080389144907535,0.3265666961669922,6.201936102295027,0.27493953704833984
0.094,6.190880981987896,0.08839559555053711,6.179375586324449,0.03312277793884277,6.2080389144907535,0.3275010585784912,6.201936102295027,0.2804899215698242
0.097,6.196482252683225,0.08647036552429199,6.174199602481262,0.03328132629394531,6.2080389144907535,0.3259298801422119,6.201936102295027,0.2735579013824463
