2,0.0007515,0.0010297,0.0035669
4,0.00016133,0.00031345,0.00013
8,0.00014192,0.0004012,0.0001215
16,0.0002403,0.0005016,0.00014825
32,0.0001886,0.00066073,0.00012693
64,0.00016035,0.00030527,0.00012108
128,0.0001549,0.0002614,0.000127
256,0.00016662,0.00065962,0.00015055
512,0.00017992,0.0003089,0.00017823
1024,0.00018705,0.00024757,0.0002513
2048,0.00020368,0.00026155,0.00041697
4096,0.00023918,0.00039597,0.00078895
8192,0.00034218,0.00051238,0.0016399
16384,0.00059235,0.00044163,0.002909
32768,0.00072585,0.0005266,0.0059994
65536,0.001201,0.00073383,0.012757
1.3107e+05,0.0021013,0.001343,0.026412
2.6214e+05,0.0038916,0.002439,0.053901
5.2429e+05,0.0079939,0.0049732,0.11441
1.0486e+06,0.01664,0.010013,0.25037
