CLT_stdUniform,CLT_stdGaussian,CLT_Rep_lattice,CLT_Rep_Sobol
32.656694412231445,14.694711685180664,2.6838250160217285,7.683478832244873
25.66737985610962,9.298142910003662,1.2616276741027832,8.180131196975708
18.240236043930054,7.307464122772217,0.6841936111450195,6.866620779037476
14.220981121063232,5.244977951049805,0.6931469440460205,6.958429336547852
11.319738388061523,4.298507928848267,0.6931633949279785,5.679796457290649
8.334744453430176,3.229339838027954,0.6821722984313965,5.695772886276245
6.783863544464111,2.780595302581787,0.6981074810028076,5.668844938278198
5.454418182373047,2.335754632949829,0.40691280364990234,4.5608069896698
4.509932279586792,2.114372968673706,0.40888190269470215,4.6794703006744385
4.054156303405762,1.5917441844940186,0.4248955249786377,4.6116979122161865
3.2572836875915527,1.4979948997497559,0.3400895595550537,4.561805248260498
3.069819211959839,1.312464952468872,0.40793776512145996,4.551830768585205
2.6529083251953125,1.189819097518921,0.33812665939331055,3.499638319015503
2.371659517288208,1.0362300872802734,0.35704565048217773,3.4607479572296143
2.2559685707092285,1.0382249355316162,0.3311138153076172,3.451784133911133
2.1801698207855225,0.7858991622924805,0.3341071605682373,3.4737133979797363
1.6266510486602783,0.8925971984863281,0.33214306831359863,4.577760934829712
1.742337942123413,0.7041184902191162,0.33011674880981445,4.5438525676727295
1.5418782234191895,0.5824401378631592,0.33809614181518555,3.4607486724853516
1.3763198852539062,0.6462688446044922,0.33211207389831543,3.4607484340667725
1.4471182823181152,0.6652207374572754,0.3370990753173828,3.4767050743103027
1.3394191265106201,0.5136270523071289,0.295210599899292,3.438791036605835
1.0791149139404297,0.5046496391296387,0.3421132564544678,3.458725690841675
1.0212678909301758,0.4507944583892822,0.2892272472381592,3.552501678466797
0.9584250450134277,0.4148905277252197,0.3420853614807129,3.494657516479492
0.8557121753692627,0.42186689376831055,0.2962057590484619,3.482689380645752
