n,L_natural,L_linear,L_MPS,H_QRNG,H_Owen,S_QMCPy,S_SciPy
2.0,4.1875839233398434e-05,1.4829635620117188e-05,3.170967102050781e-05,1.5764236450195314e-05,0.0004964065551757812,1.8320083618164063e-05,4.123687744140625e-05
4.0,9.758949279785156e-05,1.728057861328125e-05,4.255294799804687e-05,1.8405914306640626e-05,0.0006819534301757813,2.4566650390625e-05,6.092071533203125e-05
8.0,0.0002828788757324219,2.0885467529296874e-05,7.300376892089843e-05,2.3288726806640627e-05,0.0006962013244628906,3.1957626342773436e-05,5.816459655761719e-05
16.0,0.0003358745574951172,1.9931793212890624e-05,7.439613342285157e-05,2.3250579833984374e-05,0.0006908702850341796,2.7561187744140624e-05,7.89642333984375e-05
32.0,0.0005073165893554688,2.0236968994140624e-05,8.691787719726563e-05,2.5682449340820312e-05,0.0007401561737060547,2.796173095703125e-05,6.427764892578126e-05
64.0,0.0007668018341064453,2.7790069580078126e-05,0.00015045166015625,3.720283508300781e-05,0.0007725620269775391,2.620697021484375e-05,7.719993591308594e-05
128.0,0.00102020263671875,2.4805068969726564e-05,0.00013204574584960938,4.9114227294921875e-05,0.0009810829162597656,2.8133392333984375e-05,6.124496459960937e-05
256.0,0.0014055919647216796,2.9315948486328124e-05,0.00014679908752441407,9.856224060058593e-05,0.0010898780822753906,3.0508041381835936e-05,6.680488586425781e-05
512.0,0.0017197990417480468,3.079414367675781e-05,0.00016736030578613282,0.00014935493469238283,0.0013301944732666015,4.391670227050781e-05,7.568359375e-05
1024.0,0.002355918884277344,5.588531494140625e-05,0.00020916938781738282,0.0002679443359375,0.001581087112426758,3.2520294189453126e-05,5.951881408691406e-05
2048.0,0.0022314453125,5.908012390136719e-05,0.00020676612854003906,0.0004544353485107422,0.002095317840576172,3.340721130371094e-05,5.431175231933594e-05
4096.0,0.0026275253295898436,7.0953369140625e-05,0.00019556999206542968,0.0006917190551757813,0.002771806716918945,4.139900207519531e-05,5.6715011596679686e-05
8192.0,0.002778749465942383,0.00010938644409179688,0.00025136947631835936,0.0013934421539306642,0.00565495491027832,6.755828857421875e-05,7.167816162109375e-05
16384.0,0.0038029289245605467,0.00020256996154785156,0.0003678703308105469,0.0029001998901367187,0.00969919204711914,0.00010844230651855468,8.892059326171875e-05
32768.0,0.004743881225585937,0.0003701305389404297,0.000557394027709961,0.005612249374389648,0.018649206161499024,0.00019880294799804688,0.00013939857482910155
65536.0,0.0067805957794189456,0.0007032394409179687,0.0009489250183105469,0.011571168899536133,0.03644444465637207,0.0003708267211914062,0.00023819923400878907
131072.0,0.010623493194580079,0.0012997055053710937,0.0015929698944091796,0.023850040435791017,0.07241696357727051,0.0006824874877929687,0.0004071235656738281
262144.0,0.017512197494506835,0.002628955841064453,0.003184518814086914,0.04903524398803711,0.1660917568206787,0.0015300369262695312,0.001491880416870117
524288.0,0.04505512237548828,0.006642484664916992,0.009120874404907227,0.11701176643371582,0.4497529602050781,0.0036969947814941406,0.0022975730895996092
1048576.0,0.07041104316711426,0.016618804931640627,0.024518756866455077,0.20985074996948241,1.268327522277832,0.008060598373413086,0.005953197479248047
