abs_tol,CLT_stdUniform_sol,CLT_stdUniform_runTime,CLT_stdGaussian_sol,CLT_stdGaussian_runTime,CLT_Rep_lattice_sol,CLT_Rep_lattice_runTime,CLT_Rep_Sobol_sol,CLT_Rep_Sobol_runTime
0.01,6.20822563225073,6.166953802108765,6.199595954083529,3.3356258869171143,6.200057766335487,0.5695028305053711,6.2120285237252295,0.332599401473999
0.012,6.210353219202495,4.400762319564819,6.200861800583873,2.4154462814331055,6.201222750079905,0.43125057220458984,6.2120285237252295,0.3458576202392578
0.014,6.210007295380461,3.530442953109741,6.201272539764301,2.0046427249908447,6.201222750079905,0.4638049602508545,6.2120285237252295,0.35666322708129883
0.016,6.208821647012693,2.6571829319000244,6.196181177013957,1.4389290809631348,6.206381957819794,0.36406469345092773,6.2120285237252295,0.36347198486328125
0.018000000000000002,6.208551226667017,2.051558256149292,6.196103015376142,1.142089605331421,6.206381957819794,0.3814210891723633,6.209105316875992,0.31967973709106445
0.02,6.206424488421746,1.749361515045166,6.201003248757894,0.9415731430053711,6.206381957819794,0.367112398147583,6.209105316875992,0.3207073211669922
0.022,6.202700762774508,1.4420740604400635,6.197150122014977,0.7770845890045166,6.206381957819794,0.3838379383087158,6.209105316875992,0.31920695304870605
0.024,6.200956520195612,1.2511177062988281,6.200006181735885,0.7144594192504883,6.206381957819794,0.40204405784606934,6.209105316875992,0.33736324310302734
0.026000000000000002,6.199404881883417,1.006995439529419,6.199763832719652,0.5647692680358887,6.206381957819794,0.36386656761169434,6.209105316875992,0.3221156597137451
0.028000000000000004,6.208083757837822,0.8516294956207275,6.1994899088009126,0.46375489234924316,6.206381957819794,0.35504698753356934,6.209105316875992,0.3100924491882324
0.03,6.204856165574879,0.7316856384277344,6.19760679968047,0.40663790702819824,6.206381957819794,0.3561363220214844,6.209105316875992,0.3087806701660156
0.032,6.200652535366924,0.6617851257324219,6.201156810474425,0.37087130546569824,6.206381957819794,0.37796783447265625,6.209105316875992,0.3261830806732178
0.034,6.203688383346638,0.6512057781219482,6.202401400596683,0.36214351654052734,6.206381957819794,0.3907318115234375,6.209105316875992,0.3175508975982666
0.036000000000000004,6.203792305649262,0.5261514186859131,6.207232907067357,0.2896592617034912,6.206381957819794,0.36233949661254883,6.209105316875992,0.3088057041168213
0.038,6.205249540561684,0.47137022018432617,6.209395083928249,0.26108217239379883,6.206381957819794,0.3558330535888672,6.209105316875992,0.30965089797973633
0.04,6.211259346821666,0.4223787784576416,6.215475709945727,0.2383711338043213,6.193026562157902,0.3124067783355713,6.209105316875992,0.31461644172668457
0.042,6.214329836934326,0.38859057426452637,6.215129092377782,0.2181396484375,6.193026562157902,0.3078651428222656,6.209105316875992,0.3084414005279541
0.044000000000000004,6.215514050062764,0.3589048385620117,6.218642997255781,0.19519972801208496,6.193026562157902,0.31146693229675293,6.209105316875992,0.30751705169677734
0.046000000000000006,6.209555807206015,0.3272421360015869,6.21491038319224,0.1775062084197998,6.193026562157902,0.3045196533203125,6.209105316875992,0.3037266731262207
0.048,6.212223444396649,0.3023183345794678,6.208902990235385,0.16460371017456055,6.193026562157902,0.30694103240966797,6.209105316875992,0.3129098415374756
0.05,6.196097417425369,0.286973237991333,6.216374159536889,0.16123294830322266,6.193026562157902,0.3322455883026123,6.209105316875992,0.3293495178222656
